# United Kingdom
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-1.05243669 60.44447622
-1.06566586 60.38158601
-1.13367204 60.20697134
-1.15279232 60.17736074
-1.16571143 60.12428905
-1.17925066 60.11390209
-1.19930111 60.00657014
-1.24529314 59.97122346
-1.28376624 59.8869392
-1.29945004 59.87867097
-1.3558807 59.91112377
-1.29950172 60.03984976
-1.27619564 60.11465139
-1.29089759 60.15348623
-1.32280779 60.18836782
-1.40902991 60.18950471
-1.48150611 60.17338166
-1.49685401 60.19400056
-1.49912777 60.22177664
-1.51662025 60.23102672
-1.61302263 60.22908885
-1.64134132 60.23678864
-1.66004818 60.26226512
-1.66379472 60.28252228
-1.57664242 60.29838695
-1.49442522 60.29249584
-1.37461341 60.33290681
-1.44954424 60.4685316
-1.5488405 60.48132152
-1.57178484 60.49444733
-1.55261288 60.51744335
-1.49812008 60.52984569
-1.41419756 60.59873037
-1.36396806 60.60958242
-1.3017238 60.60764456
-1.30813168 60.5374938

-1.04251482 60.51385183
-1.06788795 60.50230215
-1.16553056 60.60389802
-1.09331275 60.72022167
-1.00561785 60.71650096
-0.99166521 60.68603771
-1.00034685 60.65800324
-1.04499529 60.65552277
-1.04905189 60.64694449
-1.03509925 60.59294261
-1.03424659 60.53015575
-1.04251482 60.51385183

-0.77426246 60.81194733
-0.77431413 60.80047517
-0.82619727 60.71613923
-0.8254738 60.68394481
-0.90913795 60.68699372
-0.92226376 60.69727733
-0.93810259 60.74567231
-0.92753476 60.79714204
-0.91580421 60.81044872
-0.89141293 60.81592642
-0.8649546 60.80579784
-0.82343258 60.83189444
-0.801806 60.83127432
-0.77426246 60.81194733

