# Meuse (Maas) catchment
6.400 50.942 6011000
6.400 50.933 6011000
6.442 50.933 6011000
6.442 50.925 6011000
6.450 50.925 6011000
6.450 50.917 6011000
6.458 50.917 6011000
6.458 50.900 6011000
6.467 50.900 6011000
6.467 50.892 6011000
6.475 50.892 6011000
6.475 50.875 6011000
6.492 50.875 6011000
6.492 50.867 6011000
6.508 50.867 6011000
6.508 50.858 6011000
6.525 50.858 6011000
6.525 50.850 6011000
6.533 50.850 6011000
6.533 50.833 6011000
6.542 50.833 6011000
6.542 50.825 6011000
6.550 50.825 6011000
6.550 50.817 6011000
6.567 50.817 6011000
6.567 50.808 6011000
6.575 50.808 6011000
6.575 50.800 6011000
6.583 50.800 6011000
6.583 50.775 6011000
6.592 50.775 6011000
6.592 50.742 6011000
6.583 50.742 6011000
6.583 50.708 6011000
6.542 50.708 6011000
6.542 50.700 6011000
6.525 50.700 6011000
6.525 50.692 6011000
6.508 50.692 6011000
6.508 50.675 6011000
6.517 50.675 6011000
6.517 50.650 6011000
6.525 50.650 6011000
6.525 50.617 6011000
6.517 50.617 6011000
6.517 50.592 6011000
6.525 50.592 6011000
6.525 50.583 6011000
6.542 50.583 6011000
6.542 50.575 6011000
6.550 50.575 6011000
6.550 50.567 6011000
6.558 50.567 6011000
6.558 50.558 6011000
6.567 50.558 6011000
6.567 50.550 6011000
6.575 50.550 6011000
6.575 50.533 6011000
6.583 50.533 6011000
6.583 50.525 6011000
6.633 50.525 6011000
6.633 50.517 6011000
6.642 50.517 6011000
6.642 50.508 6011000
6.658 50.508 6011000
6.658 50.500 6011000
6.683 50.500 6011000
6.683 50.492 6011000
6.692 50.492 6011000
6.692 50.467 6011000
6.675 50.467 6011000
6.675 50.458 6011000
6.642 50.458 6011000
6.642 50.450 6011000
6.633 50.450 6011000
6.633 50.433 6011000
6.608 50.433 6011000
6.608 50.425 6011000
6.600 50.425 6011000
6.600 50.417 6011000
6.575 50.417 6011000
6.575 50.408 6011000
6.517 50.408 6011000
6.517 50.417 6011000
6.450 50.417 6011000
6.450 50.408 6011000
6.442 50.408 6011000
6.442 50.417 6011000
6.408 50.417 6011000
6.408 50.408 6011000
6.400 50.408 6011000
6.400 50.417 6011000
6.367 50.417 6011000
6.367 50.408 6011000
6.358 50.408 6011000
6.358 50.400 6011000
6.350 50.400 6011000
6.350 50.392 6011000
